,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
739,BIOCHEMISTRY AND CELL BIOLOGY,BIOCHEM CELL BIOL,0829-8211,1208-6002,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,"3,773",3.73,Q3,0.56,4.45%
741,BIOCHEMISTRY AND CELL BIOLOGY-BIOCHIMIE ET BIOLOGIE CELLULAIRE,BIOCHEM CELL BIOL,0829-8211,1208-6002,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,795",1.695,Q2,,
742,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,BIOCHEM MOL BIOL EDU,1470-8175,1539-3429,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,550",1.369,Q4,0.41,6.77%
743,BIOCHEMISTRY AND MOLECULAR BIOLOGY INTERNATIONAL,BIOCHEM MOL BIOL INT,1039-9712,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,791",0.792,Q4,,
744,BIOCHEMISTRY MOSCOW SUPPLEMENT SERIES A-MEMBRANE AND CELL BIOLOGY,BIOCHEM MOSC SUPPL S,1990-7478,1990-7494,CELL BIOLOGY - ESCI,279,,,0.09,4.27%
745,BIOCHEMISTRY MOSCOW-SUPPLEMENT SERIES B-BIOMEDICAL CHEMISTRY,BIOCHEM MOSC-SUPPL S,1990-7508,1990-7516,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI,207,,,0.06,0%
746,BIOCHEMISTRY-MOSCOW,BIOCHEMISTRY-MOSCOW+,0006-2979,1608-3040,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"5,746",2.824,Q4,0.32,4.35%
748,BIOCHIMICA ET BIOPHYSICA ACTA,BIOCHIM BIOPHYS ACTA,0006-3002,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"68,401",2.478,Q2,,
749,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,BBA-BIOENERGETICS,0005-2728,1879-2650,BIOPHYSICS - SCIE,"15,768",4.428,Q2,0.88,14.01%
751,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,BBA-BIOMEMBRANES,0005-2736,1879-2642,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"22,641",4.019,Q3,0.84,10.83%
753,BIOCHIMICA ET BIOPHYSICA ACTA-GENE REGULATORY MECHANISMS,BBA-GENE REGUL MECH,1874-9399,1876-4320,BIOPHYSICS - SCIE,"8,926",6.304,Q1,0.87,12.40%
755,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,BBA-GEN SUBJECTS,0304-4165,1872-8006,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"18,499",4.117,Q3,0.76,8.77%
757,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,BBA-MOL CELL BIOL L,1388-1981,1879-2618,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,"13,646",5.228,Q2,0.85,18.01%
760,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,BBA-MOL BASIS DIS,0925-4439,1879-260X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"22,719",6.633,Q1,1.04,11.06%
762,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,BBA-MOL CELL RES,0167-4889,1879-2596,CELL BIOLOGY - SCIE,"20,874",4.739,Q2,0.82,12.10%
764,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,BBA-PROTEINS PROTEOM,1570-9639,1878-1454,BIOPHYSICS - SCIE,"9,573",4.125,Q2,0.66,10.06%
766,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,0304-419X,1879-2561,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"8,255",11.414,Q1,1.2,17.63%
769,BIOCHIMIE,BIOCHIMIE,0300-9084,1638-6183,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,742",1.617,Q2,,
771,BIOCHIP JOURNAL,BIOCHIP J,1976-0280,2092-7843,NANOSCIENCE & NANOTECHNOLOGY - SCIE,905,4.229,Q3,0.54,1.61%
772,BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,1043-1802,1520-4812,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","19,624",6.069,Q2,0.99,10.41%
776,BIOCYBERNETICS AND BIOMEDICAL ENGINEERING,BIOCYBERN BIOMED ENG,0208-5216,0208-5216,"ENGINEERING, BIOMEDICAL - SCIE","2,309",5.687,Q2,1.11,3.91%
777,BIODATA MINING,BIODATA MIN,1756-0381,1756-0381,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,075",4.079,Q1,0.73,98.85%
778,BIODRUGS,BIODRUGS,1173-8804,1179-190X,IMMUNOLOGY - SCIE,"3,113",7.744,Q1,1.04,45.83%
781,BIOELECTRICITY,BIOELECTRICITY,2576-3105,2576-3113,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI,145,,,0.27,11.63%
782,BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,1567-5394,1878-562X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOLOGY - SCIE,"7,093",5.76,Q1,1.19,10.28%
784,BIOELECTROCHEMISTRY AND BIOENERGETICS,BIOELECTROCH BIOENER,0302-4598,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,414",1.363,Q3,,
785,BIOELECTROMAGNETICS,BIOELECTROMAGNETICS,0197-8462,1521-186X,BIOLOGY - SCIE,"2,948",1.848,Q3,0.45,15.07%
787,BIOENGINEERING & TRANSLATIONAL MEDICINE,BIOENG TRANSL MED,,2380-6761,"ENGINEERING, BIOMEDICAL - SCIE","1,581",10.684,Q1,1.51,93.10%
788,BIOENGINEERING-BASEL,BIOENGINEERING-BASEL,,2306-5354,"ENGINEERING, BIOMEDICAL - SCIE","2,888",5.046,Q2,0.72,95.36%
789,BIOESSAYS,BIOESSAYS,0265-9247,1521-1878,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"5,960",7.58,Q1,,
791,BIOFABRICATION,BIOFABRICATION,1758-5082,1758-5090,"ENGINEERING, BIOMEDICAL - SCIE","7,979",11.061,Q1,2.11,17.78%
792,BIOFACTORS,BIOFACTORS,0951-6433,1872-8081,ENDOCRINOLOGY & METABOLISM - SCIE,"5,614",6.438,Q1,0.93,3.94%
794,BIOGENIC AMINES,BIOGENIC AMINES,0168-8561,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,240,0.557,Q4,,
795,BIOIMPACTS,BIOIMPACTS,2228-5652,2228-5660,PHARMACOLOGY & PHARMACY - SCIE,"1,240",3.783,Q2,1.04,92.44%
796,BIOINFORMATICS,BIOINFORMATICS,1367-4803,1460-2059,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"174,343",6.931,Q1,2.01,38.56%
797,BIOINFORMATION,BIOINFORMATION,0973-8894,0973-2063,MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI,"1,819",,,0.34,94.86%
798,BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,1565-3633,1687-479X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,744",4.724,Q2,1.05,98.67%
799,BIOINSPIRED BIOMIMETIC AND NANOBIOMATERIALS,BIOINSPIR BIOMIM NAN,2045-9858,2045-9866,"ENGINEERING, BIOMEDICAL - SCIE",256,1.732,Q4,0.3,2.70%
800,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,BIOINTERFACE RES APP,2069-5837,2069-5837,"CHEMISTRY, APPLIED - ESCI","1,969",,,0.35,96.75%
801,BIOINTERPHASES,BIOINTERPHASES,1934-8630,1559-4106,BIOPHYSICS - SCIE,"2,269",1.916,Q4,0.4,21.43%
802,BIOLOGIA,BIOLOGIA,0006-3088,1336-9563,BIOLOGY - SCIE,"3,937",1.653,Q3,0.39,6.92%
803,BIOLOGIA FUTURA,BIOL FUTURA,2676-8615,2676-8607,BIOLOGY - SCIE,115,1.069,Q4,0.25,39.57%
804,BIOLOGICAL & PHARMACEUTICAL BULLETIN,BIOL PHARM BULL,0918-6158,1347-5215,PHARMACOLOGY & PHARMACY - SCIE,"13,933",2.264,Q4,0.6,98.44%
805,BIOLOGICAL BULLETIN,BIOL BULL-US,0006-3185,1939-8697,BIOLOGY - SCIE,"5,468",1.932,Q3,0.45,3.39%
806,BIOLOGICAL CHEMISTRY,BIOL CHEM,1431-6730,1437-4315,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"8,062",4.7,Q2,0.62,20.53%
808,BIOLOGICAL CYBERNETICS,BIOL CYBERN,0340-1200,1432-0770,NEUROSCIENCES - SCIE,"5,217",3.072,Q3,0.48,36.28%
809,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,0006-3223,1873-2402,NEUROSCIENCES - SCIE,"51,087",12.81,Q1,2.66,23.02%
810,BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING,BIOL PSYCHIAT-COGN N,2451-9022,2451-9030,NEUROSCIENCES - SCIE,"3,343",6.05,Q1,1.29,13.73%
811,BIOLOGICAL PSYCHOLOGY,BIOL PSYCHOL,0301-0511,1873-6246,"PSYCHOLOGY, BIOLOGICAL - SSCI","12,365",3.111,Q2,0.98,12.29%
813,BIOLOGICAL RESEARCH,BIOL RES,0716-9760,0717-6287,BIOLOGY - SCIE,"3,299",7.634,Q1,1.4,99.35%
814,BIOLOGICAL REVIEWS,BIOL REV,1464-7931,1469-185X,BIOLOGY - SCIE,"19,206",14.35,Q1,2.64,35.83%
815,BIOLOGICAL RHYTHM RESEARCH,BIOL RHYTHM RES,0929-1016,1744-4179,PHYSIOLOGY - SCIE,"1,507",1.362,Q4,0.3,1.78%
818,BIOLOGICAL SIGNALS AND RECEPTORS,BIOL SIGNAL RECEPT,1422-4933,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,293,1.114,Q3,,
819,BIOLOGICAL TRACE ELEMENT RESEARCH,BIOL TRACE ELEM RES,0163-4984,1559-0720,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"15,936",4.081,Q3,0.78,6.46%
822,BIOLOGICALS,BIOLOGICALS,1045-1056,1095-8320,PHARMACOLOGY & PHARMACY - SCIE,"2,047",1.76,Q4,0.45,28.95%
823,BIOLOGICHESKIE MEMBRANY,BIOL MEMBRANY,0233-4755,,CELL BIOLOGY - SCIE,131,0.141,Q4,0.03,0%
825,BIOLOGY BULLETIN,BIOL BULL+,1062-3590,1608-3059,BIOLOGY - SCIE,"1,059",0.492,Q4,0.12,1.78%
826,BIOLOGY DIRECT,BIOL DIRECT,,1745-6150,BIOLOGY - SCIE,"2,618",7.173,Q1,1.26,97.44%
827,BIOLOGY LETTERS,BIOL LETTERS,1744-9561,1744-957X,BIOLOGY - SCIE,"13,630",3.812,Q2,0.89,
828,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,BIOL BLOOD MARROW TR,1083-8791,1523-6536,IMMUNOLOGY - SCIE,"16,477",5.609,Q2,1.09,100%
829,BIOLOGY OF SEX DIFFERENCES,BIOL SEX DIFFER,,2042-6410,ENDOCRINOLOGY & METABOLISM - SCIE,"2,974",8.811,Q1,1.35,99.46%
830,BIOLOGY OF THE CELL,BIOL CELL,0248-4900,1768-322X,CELL BIOLOGY - SCIE,"2,602",4.458,Q3,0.53,12.22%
832,BIOLOGY OPEN,BIOL OPEN,2046-6390,2046-6390,BIOLOGY - SCIE,"4,359",2.643,Q3,0.65,100%
833,BIOLOGY-BASEL,BIOLOGY-BASEL,,2079-7737,BIOLOGY - SCIE,"6,091",5.168,Q1,0.92,92.76%
834,BIOMACROMOLECULES,BIOMACROMOLECULES,1525-7797,1526-4602,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"46,963",6.978,Q1,1.49,13.82%
835,BIOMARKER RESEARCH,BIOMARK RES,,2050-7771,ONCOLOGY - SCIE,"1,811",8.633,Q1,1.05,100%
836,BIOMATERIALS,BIOMATERIALS,0142-9612,1878-5905,"ENGINEERING, BIOMEDICAL - SCIE","131,366",15.304,Q1,2.69,9.49%
837,BIOMATERIALS AND BIOMECHANICS IN BIOENGINEERING,BIOMATER BIOMECH BIO,2465-9835,2465-9959,"ENGINEERING, BIOMEDICAL - ESCI",24,,,0.14,0%
838,BIOMATERIALS RESEARCH,BIOMATER RES,1226-4601,2055-7124,"ENGINEERING, BIOMEDICAL - SCIE","1,897",15.863,Q1,1.39,100%
839,BIOMECHANICS AND MODELING IN MECHANOBIOLOGY,BIOMECH MODEL MECHAN,1617-7959,1617-7940,BIOPHYSICS - SCIE,"5,030",3.623,Q2,0.76,25%
841,BIOMEDICAL AND ENVIRONMENTAL SCIENCES,BIOMED ENVIRON SCI,0895-3988,2214-0190,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,288",2.831,Q3,0.51,0%
842,BIOMEDICAL CHROMATOGRAPHY,BIOMED CHROMATOGR,0269-3879,1099-0801,PHARMACOLOGY & PHARMACY - SCIE,"5,551",1.911,Q4,0.41,2%
845,BIOMEDICAL ENGINEERING AND COMPUTATIONAL BIOLOGY,BIOMED ENG COMPUT BI,1179-5972,1179-5972,"ENGINEERING, BIOMEDICAL - ESCI",74,,,0.35,100%
846,BIOMEDICAL ENGINEERING LETTERS,BIOMED ENG LETT,2093-9868,2093-985X,"ENGINEERING, BIOMEDICAL - SCIE","1,018",3.92,Q2,0.73,0%
847,BIOMEDICAL ENGINEERING ONLINE,BIOMED ENG ONLINE,,1475-925X,"ENGINEERING, BIOMEDICAL - SCIE","5,344",3.903,Q3,0.62,100%
848,BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS,BIOMED ENG-APP BAS C,1016-2372,1793-7132,"ENGINEERING, BIOMEDICAL - ESCI",415,,,0.15,0.69%
849,BIOMEDICAL ENGINEERING-BIOMEDIZINISCHE TECHNIK,BIOMED ENG-BIOMED TE,0013-5585,1862-278X,"ENGINEERING, BIOMEDICAL - SCIE","1,407",1.426,Q4,0.34,2.54%
850,BIOMEDICAL ENGINEERING-MEDITSINSKAYA TEKNIKA,BIOMED ENG-MEDIT TEK,0006-3398,1573-8256,"ENGINEERING, BIOMEDICAL - ESCI",67,,,0.08,0%
851,BIOMEDICAL JOURNAL,BIOMED J,2319-4170,2320-2890,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,388",7.892,Q1,1.14,98.90%
852,BIOMEDICAL MATERIALS,BIOMED MATER,1748-6041,1748-605X,"ENGINEERING, BIOMEDICAL - SCIE","5,523",4.103,Q2,0.79,7.66%
853,BIOMEDICAL MICRODEVICES,BIOMED MICRODEVICES,1387-2176,1572-8781,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"4,240",3.783,Q3,0.56,8.51%
855,BIOMEDICAL OPTICS EXPRESS,BIOMED OPT EXPRESS,2156-7085,,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","14,709",3.562,Q2,1.05,99.87%
856,BIOMEDICAL PHYSICS & ENGINEERING EXPRESS,BIOMED PHYS ENG EXPR,2057-1976,2057-1976,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,475",,,0.41,9.17%
857,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,BIOMED SIGNAL PROCES,1746-8094,1746-8108,"ENGINEERING, BIOMEDICAL - SCIE","9,966",5.076,Q2,1.08,5.37%
858,BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,0753-3322,1950-6007,PHARMACOLOGY & PHARMACY - SCIE,"52,615",7.419,Q1,1.6,99.60%
859,BIOMEDICINES,BIOMEDICINES,,2227-9059,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"7,005",4.757,Q2,0.81,93.19%
861,BIOMETALS,BIOMETALS,0966-0844,1572-8773,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"5,581",3.378,Q3,0.49,12.63%
863,BIOMETRICAL JOURNAL,BIOMETRICAL J,0323-3847,1521-4036,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"4,635",1.715,Q4,0.58,20.99%
864,BIOMETRICS,BIOMETRICS,0006-341X,1541-0420,BIOLOGY - SCIE,"28,574",1.701,Q3,0.6,8.43%
866,BIOMETRIKA,BIOMETRIKA,0006-3444,1464-3510,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"28,960",3.028,Q2,0.85,5.93%
868,BIOMICROFLUIDICS,BIOMICROFLUIDICS,,1932-1058,BIOPHYSICS - SCIE,"4,846",3.258,Q3,0.65,11.15%
870,BIOMOLECULAR NMR ASSIGNMENTS,BIOMOL NMR ASSIGN,1874-2718,1874-270X,BIOPHYSICS - SCIE,404,0.731,Q4,0.26,27.14%
871,BIOMOLECULES,BIOMOLECULES,,2218-273X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"21,742",6.064,Q2,0.8,95.93%
872,BIOMOLECULES & THERAPEUTICS,BIOMOL THER,1976-9148,2005-4483,PHARMACOLOGY & PHARMACY - SCIE,"2,855",4.231,Q2,0.86,24.67%
873,BIOORGANIC & MEDICINAL CHEMISTRY,BIOORGAN MED CHEM,0968-0896,1464-3391,"CHEMISTRY, MEDICINAL - SCIE","33,801",3.461,Q3,0.87,5.85%
876,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,BIOORG MED CHEM LETT,0960-894X,1464-3405,"CHEMISTRY, MEDICINAL - SCIE","42,444",2.94,Q3,0.82,2.93%
877,BIOORGANIC CHEMISTRY,BIOORG CHEM,0045-2068,1090-2120,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,629,1.0,Q3,,
879,BIOORGANICHESKAYA KHIMIYA,BIOORG KHIM+,0132-3423,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,024",0.655,Q4,,
880,BIOPHARM INTERNATIONAL,BIOPHARM INT,1542-166X,1939-1862,PHARMACOLOGY & PHARMACY - SCIE,300,0.231,Q4,0.03,0%
881,BIOPHARMACEUTICS & DRUG DISPOSITION,BIOPHARM DRUG DISPOS,0142-2782,1099-081X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,570,0.789,Q4,,
883,BIOPHYSICAL CHEMISTRY,BIOPHYS CHEM,0301-4622,1873-4200,BIOPHYSICS - SCIE,"5,325",3.628,Q2,0.57,5.78%
887,BIOPHYSICAL JOURNAL,BIOPHYS J,0006-3495,1542-0086,BIOPHYSICS - SCIE,"56,447",3.699,Q2,0.88,19.24%
888,BIOPHYSICS AND PHYSICOBIOLOGY,BIOPHYS PHYSICOBIOL,,2189-4779,BIOPHYSICS - ESCI,252,,,0.26,100%
889,BIOPOLYMERS,BIOPOLYMERS,0006-3525,1097-0282,BIOPHYSICS - SCIE,"9,933",2.24,Q3,0.45,10.87%
892,BIOPRESERVATION AND BIOBANKING,BIOPRESERV BIOBANK,1947-5535,1947-5543,CELL BIOLOGY - SCIE,"1,449",2.256,Q4,0.45,10.24%
894,BIOPSYCHOSOCIAL MEDICINE,BIOPSYCHOSOC MED,1751-0759,1751-0759,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",721,2.754,Q2,0.57,100%
895,BIORHEOLOGY,BIORHEOLOGY,0006-355X,1878-5034,BIOPHYSICS - SCIE,"1,745",1.615,Q4,0.33,3.33%
897,BIOSCIENCE,BIOSCIENCE,0006-3568,1525-3244,BIOLOGY - SCIE,"24,496",11.566,Q1,2.36,35.74%
898,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,BIOSCI BIOTECH BIOCH,0916-8451,1347-6947,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"3,519",0.949,Q3,,
901,BIOSCIENCE JOURNAL,BIOSCI J,1981-3163,1981-3163,BIOLOGY - SCIE,"1,200",0.469,Q4,0.13,85.42%
902,BIOSCIENCE OF MICROBIOTA FOOD AND HEALTH,BIOSCI MICROB FOOD H,2186-6953,2186-3342,NUTRITION & DIETETICS - SCIE,493,3.0,Q3,0.55,98.73%
903,BIOSCIENCE REPORTS,BIOSCIENCE REP,0144-8463,1573-4935,CELL BIOLOGY - SCIE,"10,164",3.84,Q3,0.54,99.48%
906,BIOSCIENCE RESEARCH,BIOSCI RES,1811-9506,2218-3973,BIOLOGY - ESCI,433,,,0.05,0%
907,BIOSCIENCE TRENDS,BIOSCI TRENDS,1881-7815,1881-7823,BIOLOGY - SCIE,"2,711",9.083,Q1,1.6,100%
908,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,0956-5663,1873-4235,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"79,417",12.545,Q1,2.18,2.93%
910,BIOSENSORS-BASEL,BIOSENSORS-BASEL,,2079-6374,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"4,574",5.743,Q2,0.76,93.82%
911,BIOSTATISTICS,BIOSTATISTICS,1465-4644,1468-4357,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"5,158",5.279,Q1,1.81,13.68%
912,BIOSYSTEMS,BIOSYSTEMS,0303-2647,1872-8324,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"3,622",1.957,Q3,0.51,9.09%
914,BIOTECHNIC & HISTOCHEMISTRY,BIOTECH HISTOCHEM,1052-0295,1473-7760,CELL BIOLOGY - SCIE,"1,563",1.718,Q4,0.3,0.36%
916,BIOTECHNIQUES,BIOTECHNIQUES,0736-6205,1940-9818,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"7,594",2.746,Q4,0.36,100%
918,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,BIOTECHNOL APPL BIOC,0885-4513,1470-8744,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,786,1.134,Q3,,
920,BIOTHERAPY,BIOTHERAPY,0921-299X,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,237,0.561,Q4,,
921,BIPOLAR DISORDERS,BIPOLAR DISORD,1398-5647,1399-5618,NEUROSCIENCES - SCIE,"6,472",5.345,Q2,1.11,15.79%
923,BIT NUMERICAL MATHEMATICS,BIT,0006-3835,1572-9125,"MATHEMATICS, APPLIED - SCIE","2,659",1.856,Q2,0.66,26.14%
924,BIULETYN WYDZIALU FARMACEUTYCZNEGO WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO,BIUL WYDZ FARM WARSZ,2080-1602,2080-1602,PHARMACOLOGY & PHARMACY - ESCI,7,,,0.03,0%
925,BJR CASE REPORTS,BJR CASE REP,2055-7159,2055-7159,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",370,,,0.17,99.64%
926,BLADDER CANCER,BLADDER CANCER,2352-3727,2352-3735,ONCOLOGY - SCIE,602,1.449,Q4,0.47,46.30%
927,BLOOD AND LYMPHATIC CANCER-TARGETS AND THERAPY,BLOOD LYMPHAT CANCER,1179-9889,1179-9889,ONCOLOGY - ESCI,89,,,0.33,86.67%
928,BLOOD CANCER DISCOVERY,BLOOD CANCER DISCOV,2643-3230,2643-3249,ONCOLOGY - ESCI,290,,,1.23,1.39%
929,BLOOD CANCER JOURNAL,BLOOD CANCER J,2044-5385,2044-5385,ONCOLOGY - SCIE,"5,662",9.812,Q1,1.56,99.62%
930,BLOOD PRESSURE,BLOOD PRESSURE,0803-7051,1651-1999,PERIPHERAL VASCULAR DISEASE - SCIE,"1,306",1.771,Q4,0.72,16.54%
931,BLOOD PRESSURE MONITORING,BLOOD PRESS MONIT,1359-5237,1473-5725,PERIPHERAL VASCULAR DISEASE - SCIE,"1,422",1.43,Q4,0.27,4.37%
932,BMB REPORTS,BMB REP,1976-6696,1976-670X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"4,546",5.041,Q2,0.61,100%
933,BMC BIOCHEMISTRY,BMC BIOCHEM,1471-2091,1471-2091,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,970,4.5,Q2,0.76,75%
934,BMC BIOINFORMATICS,BMC BIOINFORMATICS,1471-2105,1471-2105,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"50,683",3.307,Q2,0.82,99.63%
935,BMC BIOLOGY,BMC BIOL,,1741-7007,BIOLOGY - SCIE,"10,352",7.364,Q1,1.6,99.44%
936,BMC BIOPHYSICS,BMC BIOPHYS,,2046-1682,BIOPHYSICS - SCIE,235,0.0,Q4,1.21,100%
937,BMC CANCER,BMC CANCER,,1471-2407,ONCOLOGY - SCIE,"46,148",4.638,Q2,0.8,99.27%
938,BMC CELL BIOLOGY,BMC CELL BIOL,1471-2121,,CELL BIOLOGY - SCIE,"2,263",4.241,Q3,0.64,100%
939,BMC CHEMISTRY,BMC CHEM,,2661-801X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",887,4.095,Q2,0.5,100%
941,BMC ENDOCRINE DISORDERS,BMC ENDOCR DISORD,,1472-6823,ENDOCRINOLOGY & METABOLISM - SCIE,"2,886",3.263,Q3,0.62,99.82%
942,BMC IMMUNOLOGY,BMC IMMUNOL,,1471-2172,IMMUNOLOGY - SCIE,"2,898",3.594,Q3,0.61,100%
943,BMC INTERNATIONAL HEALTH AND HUMAN RIGHTS,BMC INT HEALTH HUM R,,1472-698X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,536",2.672,Q3,0.83,100%
944,BMC MEDICAL IMAGING,BMC MED IMAGING,1471-2342,1471-2342,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","2,180",2.795,Q3,0.6,99.76%
945,BMC MOLECULAR AND CELL BIOLOGY,BMC MOL CELL BIOL,,2661-8850,CELL BIOLOGY - SCIE,169,2.033,Q4,0.31,99.31%
947,BMC MOLECULAR BIOLOGY,BMC MOL BIOL,1471-2199,1471-2199,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,245",4.619,Q2,0.58,76.19%
948,BMC NEUROLOGY,BMC NEUROL,,1471-2377,CLINICAL NEUROLOGY - SCIE,"9,309",2.903,Q3,0.68,99.84%
949,BMC NEUROSCIENCE,BMC NEUROSCI,1471-2202,1471-2202,NEUROSCIENCES - SCIE,"5,930",3.264,Q3,0.65,100%
950,BMC OPHTHALMOLOGY,BMC OPHTHALMOL,,1471-2415,OPHTHALMOLOGY - SCIE,"5,566",2.086,Q3,0.76,99.83%
951,BMC PHARMACOLOGY & TOXICOLOGY,BMC PHARMACOL TOXICO,,2050-6511,PHARMACOLOGY & PHARMACY - SCIE,"1,790",2.605,Q3,0.68,100%
952,BMC PSYCHOLOGY,BMC PSYCHOL,,2050-7283,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,040",2.588,Q2,0.78,94.53%
953,BMC PUBLIC HEALTH,BMC PUBLIC HEALTH,,1471-2458,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","69,134",4.135,Q2,1.02,99.55%
954,BMC RESEARCH NOTES,BMC RES NOTES,,1756-0500,MULTIDISCIPLINARY SCIENCES - ESCI,"16,292",,,0.5,99.66%
955,BMC WOMENS HEALTH,BMC WOMENS HEALTH,,1472-6874,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,682",2.742,Q3,0.84,99.88%
